"species","no_countries","no_countries_threatened","percentage_threatened"
"Silene vallesia",4,2,0.5
"Silene valsecchiae",1,1,1
"Silene velcevii",1,1,1
"Silene velutina",2,1,0.5
"Siler montanum",9,1,0.111111111111111
"Sisymbrella dentata",1,1,1
"Sisymbrium cavanillesianum",1,1,1
"Solanum lidii",1,1,1
"Solanum nava",1,1,1
"Soldanella calabrella",1,1,1
"Soldanella montana",9,1,0.111111111111111
"Soldanella pindicola",4,2,0.5
"Soldanella pseudomontana",3,1,0.333333333333333
"Soldanella villosa",2,1,0.5
"Solenopsis antiphonitis",1,1,1
"Solenopsis minima",1,1,1
"Solidago litoralis",1,1,1
"Sonchus arboreus",1,1,1
"Sonchus bornmuelleri",1,1,1
"Sonchus brachylobus",1,1,1
"Sonchus bupleuroides",1,1,1
"Sonchus gandogeri",1,1,1
"Sonchus lidii",1,1,1
"Sonchus pitardii",1,1,1
"Sonchus tectifolius",1,1,1
"Sonchus tuberifer",1,1,1
"Sonchus webbii",1,1,1
"Sonchus wildpretii",1,1,1
"Sorbus atrata",1,1,1
"Sorbus degenii",1,1,1
"Sorbus faohraei",1,1,1
"Sorbus pannonica",1,1,1
"Sorbus sudetica",2,1,0.5
"Spergula madoniaca",1,1,1
"Spergularia kurkae",3,1,0.333333333333333
"Spergularia macrorrhiza",2,1,0.5
"Spergularia melanocaulos",2,1,0.5
"Spergula viscosa",1,1,1
"Sporobolus hadjikyriakou",1,1,1
"Stachys albanica",1,1,1
"Stachys beckeana",2,1,0.5
"Stachys leucoglossa",3,1,0.333333333333333
"Stachys milanii",2,1,0.5
"Stachys plumosa",3,1,0.333333333333333
"Stachys salisii",2,1,0.5
"Stachys serbica",4,2,0.5
"Staphisagria picta",3,1,0.333333333333333
"Stipa mayeri",2,1,0.5
"Stipa sicula",1,1,1
"Stipa transcarpatica",1,1,1
"Suaeda kocheri",1,1,1
"Succisa pinnatifida",2,2,1
"Succisella andreae-molinae",1,1,1
"Succisella carvalhoana",2,2,1
"Succisella microcephala",1,1,1
"Symphytum davisii",1,1,1
"Taeniopetalum arenarium",7,3,0.428571428571429
"Tanacetum audibertii",2,1,0.5
"Tanacetum vahlii",1,1,1
"Taraxacum abietifolium",1,1,1
"Taraxacum aemulans",1,1,1
"Taraxacum aleurodes",1,1,1
"Taraxacum alpestre",2,1,0.5
"Taraxacum ambrosium",1,1,1
"Taraxacum ancistratum",3,1,0.333333333333333
"Taraxacum ancoriferum",5,2,0.4
"Taraxacum anglicum",5,1,0.2
"Taraxacum aphrogenes",1,1,1
"Taraxacum aquilonare",5,2,0.4
"Taraxacum arachnoideum",4,1,0.25
"Taraxacum arcuatum",1,1,1
"Taraxacum argutum",3,1,0.333333333333333
"Taraxacum atrolivaceum",1,1,1
"Taraxacum austrinum",7,3,0.428571428571429
"Taraxacum balticiforme",4,2,0.5
"Taraxacum balticum",7,1,0.142857142857143
"Taraxacum bavaricum",8,3,0.375
"Taraxacum bohemicum",1,1,1
"Taraxacum brandenburgicum",6,2,0.333333333333333
"Taraxacum castaneum",1,1,1
"Taraxacum cognatum",4,1,0.25
"Taraxacum conspersum",4,1,0.25
"Taraxacum crocodos",3,1,0.333333333333333
"Taraxacum cucullatiforme",1,1,1
"Taraxacum dahlii",2,1,0.5
"Taraxacum delanghii",2,1,0.5
"Taraxacum dentatum",4,2,0.5
"Taraxacum discretum",8,1,0.125
"Taraxacum dovrense",1,1,1
"Taraxacum erythrocarpum",1,1,1
"Taraxacum estrelense",1,1,1
"Taraxacum euryphyllum",9,2,0.222222222222222
"Taraxacum excellens",7,2,0.285714285714286
"Taraxacum eximium",3,1,0.333333333333333
"Taraxacum fartoris",1,1,1
"Taraxacum ferale",1,1,1
"Taraxacum fontanum",9,1,0.111111111111111
"Taraxacum frisicum",2,1,0.5
"Taraxacum gelertii",12,2,0.166666666666667
"Taraxacum gelricum",3,1,0.333333333333333
"Taraxacum geminidentatum",1,1,1
"Taraxacum germanicum",1,1,1
"Taraxacum gibberum",6,1,0.166666666666667
"Taraxacum handelii",2,1,0.5
"Taraxacum heleocharis",1,1,1
"Taraxacum holmboei",1,1,1
"Taraxacum huterianum",3,1,0.333333333333333
"Taraxacum hygrophilum",4,2,0.5
"Taraxacum iberanthum",1,1,1
"Taraxacum indigenum",1,1,1
"Taraxacum intermedium",7,1,0.142857142857143
"Taraxacum inundatum",1,1,1
"Taraxacum irrigatum",4,3,0.75
"Taraxacum kraettlii",3,1,0.333333333333333
"Taraxacum laetum",8,1,0.125
"Taraxacum lamprophyllum",9,1,0.111111111111111
"Taraxacum lentiginosum",4,1,0.25
"Taraxacum lepidum",6,1,0.166666666666667
"Taraxacum limosum",3,1,0.333333333333333
"Taraxacum linguatifrons",4,1,0.25
"Taraxacum lissocarpum",3,1,0.333333333333333
"Taraxacum litigiosum",1,1,1
"Taraxacum maculigerum",6,2,0.333333333333333
"Taraxacum madidum",7,2,0.285714285714286
"Taraxacum maricum",5,1,0.2
"Taraxacum mazzettii",2,1,0.5
"Taraxacum melzerianum",1,1,1
"Taraxacum memorabile",1,1,1
"Taraxacum mendax",5,1,0.2
"Taraxacum molybdolepis",2,1,0.5
"Taraxacum multilepis",3,1,0.333333333333333
"Taraxacum neoaellenii",2,1,0.5
"Taraxacum nordstedtii",13,3,0.230769230769231
"Taraxacum obliquum",8,2,0.25
"Taraxacum obtusilobum",5,1,0.2
"Taraxacum odiosum",1,1,1
"Taraxacum olivaceum",5,1,0.2
"Taraxacum pacheri",3,1,0.333333333333333
"Taraxacum paludem-ornans",2,1,0.5
"Taraxacum paucilobum",7,2,0.285714285714286
"Taraxacum pauckertianum",5,2,0.4
"Taraxacum persimile",1,1,1
"Taraxacum pieninicum",2,1,0.5
"Taraxacum platyglossum",8,1,0.125
"Taraxacum pollichii",1,1,1
"Taraxacum pomposum",1,1,1
"Taraxacum portentosum",2,1,0.5
"Taraxacum princeps",2,1,0.5
"Taraxacum prionum",4,2,0.5
"Taraxacum pseudobalticum",3,1,0.333333333333333
"Taraxacum pseudosuecicum",1,1,1
"Taraxacum ptilotoides",1,1,1
"Taraxacum quaesitum",1,1,1
"Taraxacum ranunculus",2,1,0.5
"Taraxacum reichenbachii",2,1,0.5
"Taraxacum reichlingii",5,3,0.6
"Taraxacum retroversum",1,1,1
"Taraxacum rivulare",1,1,1
"Taraxacum ruberulum",3,1,0.333333333333333
"Taraxacum rubicundum",16,1,0.0625
"Taraxacum rubidipes",1,1,1
"Taraxacum rubrisquameum",6,1,0.166666666666667
"Taraxacum rutilum",1,1,1
"Taraxacum saphycraspedum",2,1,0.5
"Taraxacum skalinskanum",3,1,0.333333333333333
"Taraxacum solenanthinum",1,1,1
"Taraxacum subalpinum",5,2,0.4
"Taraxacum subdolum",4,1,0.25
"Taraxacum subericinum",7,1,0.142857142857143
"Taraxacum subhamatum",7,1,0.142857142857143
"Taraxacum subintegrum",3,1,0.333333333333333
"Taraxacum subnaevosum",2,1,0.5
"Taraxacum suecicum",4,1,0.25
"Taraxacum tarraconense",1,1,1
"Taraxacum triforme",1,1,1
"Taraxacum trilobifolium",5,2,0.4
"Taraxacum turfosum",4,2,0.5
"Taraxacum udum",5,1,0.2
"Taraxacum uvidum",3,1,0.333333333333333
"Taraxacum vestrogothicum",2,1,0.5
"Taraxacum vindobonense",6,2,0.333333333333333
"Taraxacum vinosum",1,1,1
"Taraxacum xerophilum",3,1,0.333333333333333
"Teline pallida",1,1,1
"Tephroseris crispa",9,3,0.333333333333333
"Tephroseris elodes",1,1,1
"Tephroseris helenitis",7,4,0.571428571428571
"Tephroseris longifolia",6,2,0.333333333333333
"Teucrium aristatum",2,2,1
"Teucrium cuneifolium",1,1,1
"Teucrium edetanum",1,1,1
"Teucrium lepicephalum",1,1,1
"Teucrium terciae",1,1,1
"Teucrium turredanum",1,1,1
"Thalictrum maritimum",1,1,1
"Thesium auriculatum",2,1,0.5
"Thesium canariense",1,1,1
"Thesium dollineri",5,2,0.4
"Thesium humifusum",6,4,0.666666666666667
"Thesium linophyllon",16,4,0.25
"Thesium parnassi",4,1,0.25
"Thesium psilotocladum",1,1,1
"Thesium pyrenaicum",12,5,0.416666666666667
"Thesium retamoides",1,1,1
"Thesium rostratum",6,3,0.5
"Thesium subsucculentum",1,1,1
"Thinopyrum varnense",3,1,0.333333333333333
"Thlaspi zaffranii",1,1,1
"Thymbra calostachya",1,1,1
"Thymelaea broteriana",2,2,1
"Thymelaea bulgarica",1,1,1
"Thymelaea coridifolia",2,1,0.5
"Thymelaea dioica",3,1,0.333333333333333
"Thymelaea granatensis",1,1,1
"Thymelaea ruizii",2,1,0.5
"Thymus albicans",2,2,1
"Thymus alpestris",6,1,0.166666666666667
"Thymus bracteosus",1,1,1
"Thymus carnosus",2,1,0.5
"Thymus laconicus",1,1,1
"Thymus × littoralis",1,1,1
"Thymus oenipontanus",5,1,0.2
"Thymus origanoides",1,1,1
"Thymus perinicus",2,1,0.5
"Thymus plasonii",1,1,1
"Thymus pulcherrimus",4,1,0.25
"Thymus stojanovii",3,1,0.333333333333333
"Tolpis crassiuscula",1,1,1
"Tolpis glabrescens",1,1,1
"Tommasinia altissima",6,1,0.166666666666667
"Tozzia alpina",8,2,0.25
"Tragopogon borysthenicus",2,1,0.5
"Tragopogon floccosus",6,2,0.333333333333333
"Tragopogon lassithicus",1,1,1
"Tragopogon pseudocastellanus",1,1,1
"Tragopogon stribrnyi",1,1,1
"Trifolium saxatile",4,3,0.75
"Trifolium wettsteinii",2,1,0.5
"Tripolium sorrentinoi",1,1,1
"Trisetaria dufourei",2,1,0.5
"Trisetum glaciale",1,1,1
"Trisetum gracile",2,1,0.5
"Trochiscanthes nodiflora",3,1,0.333333333333333
"Trollius altissimus",5,1,0.2
"Trommsdorffia facchiniana",1,1,1
"Tuberaria globulariifolia",2,1,0.5
"Tulipa akamasica",1,1,1
"Tulipa albanica",1,1,1
"Tulipa cypria",1,1,1
"Tulipa hungarica",4,3,0.75
"Tulipa kosovarica",1,1,1
"Ulex argenteus",2,1,0.5
"Ulex canescens",1,1,1
"Ulex erinaceus",1,1,1
"Urtica atrovirens",3,1,0.333333333333333
"Urtica rupestris",1,1,1
"Utricularia bremii",14,9,0.642857142857143
"Vaccinium × hagerupii",4,1,0.25
"Valantia aprica",2,1,0.5
"Valantia calva",1,1,1
"Valeriana bertiscea",3,2,0.666666666666667
"Valeriana crinii",2,1,0.5
"Valeriana excelsa",8,1,0.125
"Valeriana montana",13,2,0.153846153846154
"Valeriana saxatilis",6,1,0.166666666666667
"Valeriana simplicifolia",7,2,0.285714285714286
"Valeriana stolonifera",2,1,0.5
"Vella bourgaeana",1,1,1
"Vella castrilensis",1,1,1
"Vella lucentina",1,1,1
"Verbascum anisophyllum",2,1,0.5
"Verbascum chaixii",7,2,0.285714285714286
"Verbascum charidemi",1,1,1
"Verbascum conocarpum",2,1,0.5
"Verbascum cylleneum",1,1,1
"Verbascum davidoffii",1,1,1
"Verbascum decorum",1,1,1
"Verbascum dieckianum",3,1,0.333333333333333
"Verbascum fontqueri",1,1,1
"Verbascum glabratum",5,1,0.2
"Verbascum guicciardii",2,1,0.5
"Verbascum jankaeanum",1,1,1
"Verbascum juruk",1,1,1
"Verbascum nicolai",2,1,0.5
"Verbascum pseudonobile",2,1,0.5
"Verbascum rupestre",2,1,0.5
"Verbascum scardicola",2,1,0.5
"Verbascum spathulisepalum",2,1,0.5
"Verbascum syriacum",1,1,1
"Verbascum tzar-borisii",1,1,1
"Verbascum vandasii",3,2,0.666666666666667
"Veronica aphylla",13,1,0.0769230769230769
"Veronica austriaca",9,4,0.444444444444444
"Veronica baumgartenii",4,1,0.25
"Veronica bellidioides",13,3,0.230769230769231
"Veronica chamaepithyoides",1,1,1
"Veronica glauca",3,1,0.333333333333333
"Veronica micrantha",2,1,0.5
"Veronica nevadensis",2,1,0.5
"Veronica oetaea",1,1,1
"Veronica orsiniana",4,1,0.25
"Veronica satureiifolia",6,1,0.166666666666667
"Veronica saturejoides",3,1,0.333333333333333
"Vicia argentea",2,2,1
"Vicia bifoliolata",1,1,1
"Vicia cusnae",2,1,0.5
"Vicia giacominiana",1,1,1
"Vicia montenegrina",3,1,0.333333333333333
"Vicia nataliae",1,1,1
"Vicia orobus",10,7,0.7
"Vicia serinica",2,1,0.5
"Vicia sparsiflora",7,2,0.285714285714286
"Vincetoxicum huteri",3,1,0.333333333333333
"Vincetoxicum pannonicum",1,1,1
"Viola acrocerauniensis",1,1,1
"Viola aetolica",3,1,0.333333333333333
"Viola alpina",4,1,0.25
"Viola anagae",1,1,1
"Viola bubanii",3,1,0.333333333333333
"Viola cazorlensis",1,1,1
"Viola cephalonica",1,1,1
"Viola cheiranthifolia",1,1,1
"Viola chelmea",2,1,0.5
"Viola cryana",1,1,1
"Viola dacica",7,2,0.285714285714286
"Viola delphinantha",2,1,0.5
"Viola dukadjinica",3,1,0.333333333333333
"Viola elegantula",2,1,0.5
"Viola epirota",2,1,0.5
"Viola etrusca",1,1,1
"Viola eximia",3,1,0.333333333333333
"Viola grisebachiana",4,2,0.5
"Viola herzogii",2,1,0.5
"Viola hispida",1,1,1
"Viola jooi",2,1,0.5
"Viola kosaninii",3,1,0.333333333333333
"Viola lactea",6,3,0.5
"Viola lutea",9,4,0.444444444444444
"Viola macedonica",4,1,0.25
"Viola magellensis",2,1,0.5
"Viola orbelica",2,1,0.5
"Viola palmensis",1,1,1
"Viola perinensis",2,1,0.5
"Viola prenja",9,1,0.111111111111111
"Viola pyrenaica",9,1,0.111111111111111
"Viola × raunsiensis",1,1,1
"Viola schariensis",2,1,0.5
"Viola stojanowii",2,1,0.5
"Viola tineorum",1,1,1
"Viola ucriana",1,1,1
"Viola zoysii",3,1,0.333333333333333
"Viscaria nivalis",1,1,1
"Visnaga crinita",1,1,1
"Vogtia microphylla",2,1,0.5
"Volutaria bollei",1,1,1
"Woodsia pulchella",8,3,0.375
"Wulfenia baldaccii",1,1,1
"Wulfenia carinthiaca",4,3,0.75
"Zelkova sicula",1,1,1
