"species","no_countries","no_countries_threatened","percentage_threatened","redlistCategory"
"Polygonum albanicum",3,1,0.333333333333333,NA
"Polygonum scoparium",2,1,0.5,NA
"Polypodium × shivasiae",2,1,0.5,NA
"Potamogeton × lintonii",4,1,0.25,NA
"Potentilla alpicola",2,1,0.5,NA
"Potentilla alsatica",1,1,1,NA
"Potentilla apennina",4,1,0.25,NA
"Potentilla arcadiensis",1,1,1,NA
"Potentilla carniolica",1,1,1,NA
"Potentilla cinerea",5,1,0.2,NA
"Potentilla clusiana",6,2,0.333333333333333,NA
"Potentilla doerfleri",1,1,1,NA
"Potentilla emilii-popii",2,2,1,NA
"Potentilla haynaldiana",4,1,0.25,NA
"Potentilla leucopolitana",4,2,0.5,NA
"Potentilla montenegrina",3,2,0.666666666666667,NA
"Potentilla nicicii",3,1,0.333333333333333,NA
"Potentilla praecox",2,2,1,NA
"Potentilla pusilla",12,3,0.25,NA
"Potentilla subarenaria",6,2,0.333333333333333,NA
"Potentilla tommasiniana",8,1,0.125,NA
"Potentilla visianii",2,2,1,NA
"Potentilla wismariensis",1,1,1,NA
"Prangos trifida",7,1,0.142857142857143,NA
"Primula auricula",10,4,0.4,NA
"Primula deorum",1,1,1,NA
"Primula frondosa",1,1,1,NA
"Primula glutinosa",4,1,0.25,NA
"Primula halleri",11,3,0.272727272727273,NA
"Primula minima",10,2,0.2,NA
"Primula palinuri",1,1,1,"Endangered"
"Primula pedemontana",3,1,0.333333333333333,NA
"Primula pubescens",3,1,0.333333333333333,NA
"Primula scandinavica",2,1,0.5,"Near Threatened"
"Primula × venusta",2,1,0.5,NA
"Prolongoa hispanica",2,1,0.5,NA
"Prometheum tymphaeum",1,1,1,NA
"Prospero elisae",3,1,0.333333333333333,NA
"Prospero paratethycum",2,1,0.5,NA
"Prunus × eminens",2,1,0.5,NA
"Prunus ramburii",1,1,1,"Vulnerable"
"Pseudomisopates rivas-martinezii",1,1,1,NA
"Pseudoscabiosa limonifolia",1,1,1,NA
"Pseudostellaria europaea",4,2,0.5,NA
"Pterocephalus virens",1,1,1,NA
"Pteroselinum austriacum",10,1,0.1,NA
"Ptilostemon greuteri",1,1,1,"Critically Endangered"
"Ptychotis sardoa",1,1,1,NA
"Ptychotis saxifraga",4,1,0.25,NA
"Puccinellia × pannonica",4,1,0.25,NA
"Pulmonaria australis",4,1,0.25,NA
"Pulmonaria collina",2,1,0.5,NA
"Pulmonaria montana",5,2,0.4,NA
"Pulsatilla alpina",7,2,0.285714285714286,NA
"Pulsatilla grandis",8,4,0.5,"Least Concern"
"Pulsatilla halleri",8,6,0.75,NA
"Pulsatilla montana",7,1,0.142857142857143,NA
"Pyrola carpatica",4,1,0.25,NA
"Pyrus magyarica",1,1,1,NA
"Quercus × crenata",4,1,0.25,NA
"Quercus × kerneri",9,1,0.111111111111111,NA
"Quercus pauciradiata",1,1,1,"Data Deficient"
"Quercus × streimii",11,1,0.0909090909090909,NA
"Ramonda nathaliae",2,1,0.5,NA
"Ramonda serbica",4,4,1,"Least Concern"
"Ranunculus abbaianus",1,1,1,NA
"Ranunculus abnormis",2,1,0.5,NA
"Ranunculus aemulans",1,1,1,NA
"Ranunculus alnetorum",3,1,0.333333333333333,NA
"Ranunculus alsaticus",3,1,0.333333333333333,NA
"Ranunculus altitatrensis",1,1,1,NA
"Ranunculus ambranus",1,1,1,NA
"Ranunculus angulatus",1,1,1,NA
"Ranunculus argoviensis",5,1,0.2,NA
"Ranunculus basitruncatus",1,1,1,NA
"Ranunculus borchers-kolbiae",1,1,1,NA
"Ranunculus bupleuroides",2,1,0.5,NA
"Ranunculus cacuminis",2,1,0.5,NA
"Ranunculus carinthiacus",9,1,0.111111111111111,NA
"Ranunculus carpaticus",3,1,0.333333333333333,NA
"Ranunculus cassubicifolius",5,1,0.2,NA
"Ranunculus chrysoleptos",2,1,0.5,NA
"Ranunculus concinnatus",2,1,0.5,NA
"Ranunculus constans",1,1,1,NA
"Ranunculus cordiger",2,1,0.5,NA
"Ranunculus crenatolobus",1,1,1,NA
"Ranunculus crenatus",8,1,0.125,NA
"Ranunculus creticus",2,1,0.5,NA
"Ranunculus dactylophyllus",1,1,1,NA
"Ranunculus degenii",2,1,0.5,NA
"Ranunculus doerrii",1,1,1,NA
"Ranunculus fiorii",1,1,1,NA
"Ranunculus flabellifolius",2,1,0.5,NA
"Ranunculus fluitans",18,8,0.444444444444444,"Least Concern"
"Ranunculus fontanus",6,3,0.5,"Data Deficient"
"Ranunculus fraelensis",1,1,1,NA
"Ranunculus giordanoi",1,1,1,NA
"Ranunculus haasii",1,1,1,NA
"Ranunculus hayekii",3,1,0.333333333333333,NA
"Ranunculus henriquesii",2,1,0.5,NA
"Ranunculus hevellus",2,1,0.5,NA
"Ranunculus hostiliensis",1,1,1,NA
"Ranunculus indecorus",5,1,0.2,NA
"Ranunculus kunzii",1,1,1,NA
"Ranunculus kykkoensis",1,1,1,NA
"Ranunculus leptomeris",4,1,0.25,NA
"Ranunculus lunaris",2,1,0.5,NA
"Ranunculus mediosectus",1,1,1,NA
"Ranunculus mergenthaleri",1,1,1,NA
"Ranunculus montserratii",1,1,1,NA
"Ranunculus mutinensis",1,1,1,NA
"Ranunculus nemorosifolius",2,1,0.5,NA
"Ranunculus noricus",1,1,1,NA
"Ranunculus ololeucos",6,2,0.333333333333333,"Data Deficient"
"Ranunculus opimus",2,1,0.5,NA
"Ranunculus oxyodon",1,1,1,NA
"Ranunculus palmularis",1,1,1,NA
"Ranunculus pannonicus",4,1,0.25,NA
"Ranunculus parnassifolius",3,1,0.333333333333333,NA
"Ranunculus pedemontanus",1,1,1,NA
"Ranunculus phragmiteti",4,2,0.5,NA
"Ranunculus platanifolius",17,1,0.0588235294117647,NA
"Ranunculus polyanthemophyllus",5,1,0.2,NA
"Ranunculus praetermissus",1,1,1,NA
"Ranunculus pseudoaemulans",1,1,1,NA
"Ranunculus radinotrichus",1,1,1,NA
"Ranunculus recticaulis",1,1,1,NA
"Ranunculus revelierei",2,1,0.5,NA
"Ranunculus rhombilobus",1,1,1,NA
"Ranunculus rostratulus",1,1,1,NA
"Ranunculus rotundatus",1,1,1,NA
"Ranunculus seguieri",6,2,0.333333333333333,NA
"Ranunculus serpens",6,2,0.333333333333333,NA
"Ranunculus staubii",2,1,0.5,NA
"Ranunculus stojanovii",1,1,1,NA
"Ranunculus sylviae",1,1,1,NA
"Ranunculus thora",11,1,0.0909090909090909,NA
"Ranunculus transiens",1,1,1,NA
"Ranunculus truniacus",1,1,1,NA
"Ranunculus udicola",1,1,1,NA
"Ranunculus variabilis",3,2,0.666666666666667,NA
"Ranunculus varicus",1,1,1,NA
"Ranunculus veronicae",1,1,1,NA
"Ranunculus vindobonensis",1,1,1,NA
"Ranunculus wettsteinii",2,1,0.5,NA
"Ranunculus weyleri",1,1,1,"Vulnerable"
"Reichardia famarae",1,1,1,NA
"Reichardia macrophylla",2,1,0.5,NA
"Reseda barrelieri",2,1,0.5,NA
"Reseda complicata",1,1,1,NA
"Reseda gredensis",2,1,0.5,NA
"Rhamnus × intermedia",3,3,1,NA
"Rhamnus lojaconoi",1,1,1,"Critically Endangered"
"Rhamnus lycioides",2,1,0.5,NA
"Rhamnus persicifolia",1,1,1,"Endangered"
"Rhamnus saxatilis",13,2,0.153846153846154,NA
"Rhaponticoides centaurium",1,1,1,NA
"Rhaponticum canariense",1,1,1,NA
"Rhaponticum heleniifolium",4,1,0.25,NA
"Rhaponticum longifolium",1,1,1,NA
"Rhinanthus borbasii",5,2,0.4,NA
"Rhinanthus freynii",3,1,0.333333333333333,NA
"Rhinanthus helenae",2,1,0.5,NA
"Rhinanthus javorkae",1,1,1,NA
"Rhinanthus melampyroides",2,1,0.5,NA
"Rhinanthus rumelicus",9,1,0.111111111111111,NA
"Rhinanthus wagneri",6,1,0.166666666666667,NA
"Rhizobotrya alpina",1,1,1,NA
"Rhodanthemum arundanum",1,1,1,NA
"Rhododendron hirsutum",6,2,0.333333333333333,"Least Concern"
"Ribes sardoum",1,1,1,"Critically Endangered"
"Rivasgodaya nervosa",1,1,1,NA
"Romulea arnaudii",1,1,1,"Critically Endangered"
"Romulea corsica",1,1,1,"Least Concern"
"Romulea florentii",1,1,1,"Vulnerable"
"Romulea melitensis",1,1,1,NA
"Romulea revelieri",3,2,0.666666666666667,NA
"Rorippa valdes-bermejoi",1,1,1,"Critically Endangered"
"Rosa abietina",6,1,0.166666666666667,"Data Deficient"
"Rosa chavinii",3,1,0.333333333333333,NA
"Rosa inodora",20,7,0.35,NA
"Rosa pseudoscabriuscula",13,2,0.153846153846154,NA
"Rosa rhaetica",3,1,0.333333333333333,"Data Deficient"
"Rosa zalana",8,1,0.125,NA
"Rothmaleria granatensis",1,1,1,NA
"Rubus ambrosius",6,1,0.166666666666667,NA
"Rubus amphimalacus",3,1,0.333333333333333,NA
"Rubus barberi",3,3,1,NA
"Rubus caflischii",3,1,0.333333333333333,NA
"Rubus camptostachys",8,1,0.125,NA
"Rubus chaerophylloides",2,1,0.5,NA
"Rubus christiansenorum",1,1,1,NA
"Rubus circipanicus",3,1,0.333333333333333,NA
"Rubus confusidens",2,1,0.5,NA
"Rubus cordatiformis",1,1,1,NA
"Rubus cordiformis",2,1,0.5,NA
"Rubus correctispinosus",1,1,1,NA
"Rubus curvaciculatus",4,1,0.25,NA
"Rubus dasyphyllus",8,1,0.125,NA
"Rubus decurrentispinus",5,1,0.2,NA
"Rubus dissimulans",4,1,0.25,NA
"Rubus egregiusculus",2,1,0.5,NA
"Rubus eiderianus",1,1,1,NA
"Rubus firmus",4,2,0.5,NA
"Rubus flaccidifolius",3,1,0.333333333333333,NA
"Rubus frisicus",2,1,0.5,NA
"Rubus geminatus",3,1,0.333333333333333,NA
"Rubus gillotii",2,1,0.5,NA
"Rubus glauciformis",4,2,0.5,NA
"Rubus gothicus",7,1,0.142857142857143,NA
"Rubus gracilis",7,1,0.142857142857143,NA
"Rubus guestphalicoides",5,1,0.2,NA
"Rubus guestphalicus",2,1,0.5,NA
"Rubus hadracanthus",5,1,0.2,NA
"Rubus hallandicus",3,2,0.666666666666667,NA
"Rubus incarnatus",4,1,0.25,NA
"Rubus langei",4,1,0.25,NA
"Rubus libertianus",4,1,0.25,NA
"Rubus lignicensis",2,1,0.5,NA
"Rubus lindebergii",6,1,0.166666666666667,NA
"Rubus lindleyanus",6,1,0.166666666666667,NA
"Rubus lividus",3,1,0.333333333333333,NA
"Rubus loehrii",5,1,0.2,NA
"Rubus lusaticus",3,2,0.666666666666667,NA
"Rubus macrophyllus",14,2,0.142857142857143,NA
"Rubus marianus",2,1,0.5,NA
"Rubus martensenii",2,1,0.5,NA
"Rubus micans",8,2,0.25,NA
"Rubus montanus",15,1,0.0666666666666667,NA
"Rubus mortensenii",3,1,0.333333333333333,NA
"Rubus muenteri",5,2,0.4,NA
"Rubus nemorosus",11,2,0.181818181818182,NA
"Rubus onsalaensis",1,1,1,NA
"Rubus orthostachyoides",5,1,0.2,NA
"Rubus pallidifolius",2,1,0.5,NA
"Rubus passaviensis",3,1,0.333333333333333,NA
"Rubus phoenicacanthus",3,1,0.333333333333333,NA
"Rubus phylloglotta",2,1,0.5,NA
"Rubus phyllothyrsos",2,1,0.5,NA
"Rubus platycephalus",2,1,0.5,NA
"Rubus polybracteatus",1,1,1,NA
"Rubus posnaniensis",2,1,0.5,NA
"Rubus pruinosus",11,2,0.181818181818182,NA
"Rubus pseudothyrsanthus",2,1,0.5,NA
"Rubus rhombifolius",3,1,0.333333333333333,NA
"Rubus rufescens",6,1,0.166666666666667,NA
"Rubus rugulosus",1,1,1,NA
"Rubus scaber",7,2,0.285714285714286,NA
"Rubus scabrosus",4,1,0.25,NA
"Rubus sciocharis",7,2,0.285714285714286,NA
"Rubus scissoides",13,1,0.0769230769230769,NA
"Rubus sendtneri",3,2,0.666666666666667,NA
"Rubus septentrionalis",5,1,0.2,NA
"Rubus septifolius",2,1,0.5,NA
"Rubus silvae-norticae",3,1,0.333333333333333,NA
"Rubus silvaticus",8,1,0.125,NA
"Rubus soendrumensis",1,1,1,NA
"Rubus sorbicus",2,1,0.5,NA
"Rubus sprengeliusculus",2,1,0.5,NA
"Rubus stereacanthos",6,1,0.166666666666667,NA
"Rubus stormanicus",1,1,1,NA
"Rubus tabanimontanus",5,1,0.2,NA
"Rubus tiliaster",4,1,0.25,NA
"Rubus wahlbergii",7,1,0.142857142857143,NA
"Rubus wessbergii",3,1,0.333333333333333,NA
"Rumex rupestris",3,2,0.666666666666667,"Vulnerable"
"Rumex suffruticosus",2,1,0.5,NA
"Ruta lamarmorae",1,1,1,NA
"Ruta microcarpa",1,1,1,"Endangered"
"Ruta oreojasme",1,1,1,NA
"Rutheopsis herbanica",1,1,1,NA
"Sabulina glaucina",3,1,0.333333333333333,NA
"Sabulina velenovskyi",3,1,0.333333333333333,NA
"Sagina glabra",3,1,0.333333333333333,NA
"Sagina × normaniana",5,1,0.2,NA
"Salicornia europaea",13,2,0.153846153846154,NA
"Salicornia nitens",3,1,0.333333333333333,NA
"Salicornia pusilla",11,2,0.181818181818182,NA
"Salix alpina",8,3,0.375,NA
"Salix apennina",2,1,0.5,"Least Concern"
"Salix appendiculata",10,1,0.1,"Least Concern"
"Salix arrigonii",1,1,1,NA
"Salix bicolor",9,5,0.555555555555556,NA
"Salix breviserrata",6,2,0.333333333333333,NA
"Salix glabra",5,2,0.4,"Least Concern"
"Salix hegetschweileri",4,1,0.25,NA
"Salix helvetica",6,1,0.166666666666667,"Least Concern"
"Salix kitaibeliana",14,1,0.0714285714285714,NA
"Salix laggeri",4,1,0.25,"Least Concern"
"Salix retusa",14,1,0.0714285714285714,NA
"Salix tarraconensis",1,1,1,"Vulnerable"
"Salix waldsteiniana",7,1,0.142857142857143,"Least Concern"
"Salix xanthicola",2,1,0.5,"Vulnerable"
"Salsola melitensis",1,1,1,NA
"Salvia brachyodon",1,1,1,NA
"Salvia broussonetii",1,1,1,NA
"Salvia candelabrum",1,1,1,"Least Concern"
"Salvia granatensis",1,1,1,NA
"Salvia scabiosifolia",2,1,0.5,NA
"Salvia veneris",1,1,1,NA
"Sanguisorba albanica",2,2,1,NA
"Santolina ageratifolia",1,1,1,NA
"Santolina elegans",1,1,1,"Vulnerable"
"Santolina melidensis",1,1,1,NA
"Santolina neapolitana",1,1,1,NA
"Saponaria aenesia",1,1,1,NA
"Saponaria bellidifolia",8,3,0.375,NA
"Saponaria lutea",3,1,0.333333333333333,NA
"Sarcocapnos baetica",1,1,1,NA
"Satureja horvatii",2,1,0.5,NA
"Saussurea discolor",10,2,0.2,NA
"Saussurea esthonica",1,1,1,NA
"Saussurea porcii",2,1,0.5,NA
"Saussurea pygmaea",6,1,0.166666666666667,NA
"Saxifraga biternata",1,1,1,NA
"Saxifraga bourgaeana",1,1,1,NA
"Saxifraga caesia",9,1,0.111111111111111,NA
"Saxifraga caprariae",1,1,1,NA
"Saxifraga cintrana",1,1,1,"Data Deficient"
"Saxifraga federici-augusti",3,1,0.333333333333333,NA
"Saxifraga felineri",1,1,1,NA
"Saxifraga florulenta",2,1,0.5,"Least Concern"
"Saxifraga gemmulosa",1,1,1,NA
"Saxifraga genesiana",1,1,1,NA
"Saxifraga glabella",5,1,0.2,NA
"Saxifraga hostii",7,1,0.142857142857143,NA
"Saxifraga montis-christi",1,1,1,NA
"Saxifraga mutata",8,3,0.375,NA
"Saxifraga osloensis",3,1,0.333333333333333,"Vulnerable"
"Saxifraga paradoxa",2,1,0.5,NA
"Saxifraga pedemontana",3,1,0.333333333333333,NA
"Saxifraga prenja",2,1,0.5,NA
"Saxifraga retusa",9,2,0.222222222222222,NA
"Saxifraga scardica",3,1,0.333333333333333,NA
"Saxifraga sedoides",4,1,0.25,NA
"Saxifraga seguieri",4,1,0.25,NA
"Saxifraga spruneri",3,1,0.333333333333333,NA
"Saxifraga taygetea",3,1,0.333333333333333,NA
"Saxifraga tenella",3,1,0.333333333333333,NA
"Saxifraga tombeanensis",1,1,1,"Endangered"
"Scabiosa fumarioides",1,1,1,NA
"Scabiosa lucida",12,1,0.0833333333333333,NA
"Scabiosa triandra",11,1,0.0909090909090909,NA
"Schizogyne glaberrima",1,1,1,NA
"Schoenus × scheuchzeri",6,1,0.166666666666667,NA
"Scilla albanica",1,1,1,"Least Concern"
"Scilla dimartinoi",1,1,1,"Endangered"
"Scilla kladnii",5,1,0.2,NA
"Scilla lakusicii",1,1,1,NA
"Scilla litardierei",2,2,1,"Near Threatened"
"Scilla lochiae",1,1,1,NA
"Scilla morrisii",1,1,1,NA
"Scilla vindobonensis",6,1,0.166666666666667,NA
"Scleranthus aetnensis",1,1,1,NA
"Scorzonera rosea",10,2,0.2,NA
"Scorzonera scyria",1,1,1,NA
"Scorzoneroides microcephala",1,1,1,NA
"Scorzoneroides montana",6,1,0.166666666666667,NA
"Scrophularia bosniaca",2,1,0.5,NA
"Scrophularia bourgaeana",2,1,0.5,NA
"Scrophularia calliantha",1,1,1,NA
"Scrophularia heterophylla",2,1,0.5,NA
"Scrophularia laciniata",5,1,0.2,NA
"Scrophularia valdesii",2,2,1,NA
"Scrophularia viciosoi",1,1,1,NA
"Scutellaria alpina",10,2,0.2,NA
"Scutellaria rupestris",2,1,0.5,NA
"Securigera elegans",9,2,0.222222222222222,NA
"Sedum aquilanum",1,1,1,NA
"Sedum microstachyum",1,1,1,NA
"Sedum stefco",3,1,0.333333333333333,NA
"Selinum broteroi",3,1,0.333333333333333,NA
"Semele gayae",1,1,1,NA
"Sempervivum × alatum",4,1,0.25,NA
"Sempervivum ciliosum",4,1,0.25,NA
"Sempervivum grandiflorum",2,1,0.5,NA
"Sempervivum marmoreum",10,2,0.2,"Least Concern"
"Sempervivum pittonii",1,1,1,NA
"Sempervivum wulfenii",3,1,0.333333333333333,NA
"Senecio bollei",1,1,1,NA
"Senecio borysthenicus",3,1,0.333333333333333,NA
"Senecio cambrensis",1,1,1,NA
"Senecio doronicum",13,2,0.153846153846154,NA
"Senecio × eboracensis",1,1,1,NA
"Senecio elodes",1,1,1,"Endangered"
"Senecio eubaeus",1,1,1,NA
"Senecio fontanicola",3,2,0.666666666666667,NA
"Senecio lopezii",2,1,0.5,NA
"Senecio morisii",1,1,1,NA
"Senecio nevadensis",1,1,1,NA
"Senecio pyrenaicus",3,1,0.333333333333333,NA
"Senecio quinqueradiatus",1,1,1,NA
"Senecio rosinae",1,1,1,NA
"Senecio ruthenensis",1,1,1,NA
"Senecio scopolii",4,1,0.25,NA
"Senecio thapsoides",3,1,0.333333333333333,NA
"Senecio umbrosus",8,3,0.375,NA
"Serapias × occidentalis",2,1,0.5,NA
"Serapias perez-chiscanoi",2,1,0.5,"Least Concern"
"Seseli bulgaricum",1,1,1,NA
"Seseli degenii",1,1,1,NA
"Seseli farrenyi",1,1,1,NA
"Seseli globiferum",1,1,1,NA
"Seseli hercegovinum",4,1,0.25,NA
"Seseli intricatum",1,1,1,"Endangered"
"Seseli osseum",5,1,0.2,NA
"Seseli rigidum",6,1,0.166666666666667,NA
"Seseli varium",9,2,0.222222222222222,NA
"Sesleria bielzii",6,1,0.166666666666667,NA
"Sesleria heufleriana",4,2,0.5,NA
"Sesleria ovata",5,1,0.2,NA
"Sesleria robusta",4,1,0.25,NA
"Sesleria sadleriana",4,1,0.25,NA
"Sesleria wettsteinii",2,1,0.5,NA
"Sesleriella sphaerocephala",4,1,0.25,NA
"Siculosciadium nebrodense",1,1,1,NA
"Sideritis amagroi",1,1,1,NA
"Sideritis brevicaulis",1,1,1,NA
"Sideritis chamaedryfolia",1,1,1,NA
"Sideritis cretica",1,1,1,NA
"Sideritis cypria",1,1,1,NA
"Sideritis cystosiphon",1,1,1,"Critically Endangered"
"Sideritis discolor",1,1,1,"Critically Endangered"
"Sideritis endressii",2,1,0.5,NA
"Sideritis eriocephala",1,1,1,NA
"Sideritis euboea",1,1,1,NA
"Sideritis ferrensis",1,1,1,NA
"Sideritis glauca",1,1,1,NA
"Sideritis guayedrae",1,1,1,NA
"Sideritis hyssopifolia",4,2,0.5,"Least Concern"
"Sideritis infernalis",1,1,1,"Vulnerable"
"Sideritis kuegleriana",1,1,1,NA
"Sideritis marmorea",1,1,1,"Critically Endangered"
"Sideritis montserratiana",2,1,0.5,NA
"Sideritis nervosa",1,1,1,NA
"Sideritis nutans",1,1,1,NA
"Sideritis pumila",1,1,1,NA
"Sideritis raeseri",3,2,0.666666666666667,NA
"Sideritis reverchonii",1,1,1,"Endangered"
"Sideritis scardica",4,2,0.5,"Near Threatened"
"Sideritis serrata",1,1,1,"Critically Endangered"
"Sideritis stachydioides",1,1,1,NA
"Sideritis sventenii",1,1,1,NA
"Sideroxylon canariense",1,1,1,"Endangered"
"Silene ammophila",1,1,1,NA
"Silene badaroi",2,2,1,NA
"Silene berthelotiana",1,1,1,NA
"Silene borderei",2,1,0.5,NA
"Silene caliacrae",1,1,1,NA
"Silene cambessedesii",1,1,1,NA
"Silene cephallenia",1,1,1,NA
"Silene ciliata",3,1,0.333333333333333,NA
"Silene diclinis",1,1,1,"Endangered"
"Silene dubia",4,1,0.25,NA
"Silene fernandezii",1,1,1,"Endangered"
"Silene flavescens",5,2,0.4,NA
"Silene foetida",1,1,1,NA
"Silene gaditana",1,1,1,NA
"Silene gemmata",1,1,1,NA
"Silene graeca",4,1,0.25,NA
"Silene hicesiae",1,1,1,"Vulnerable"
"Silene hifacensis",1,1,1,"Endangered"
"Silene holzmannii",1,1,1,"Endangered"
"Silene jailensis",1,1,1,NA
"Silene lagunensis",1,1,1,NA
"Silene legionensis",2,1,0.5,NA
"Silene linicola",5,4,0.8,NA
"Silene marizii",2,1,0.5,NA
"Silene mellifera",2,1,0.5,NA
"Silene nefelites",1,1,1,NA
"Silene nemoralis",10,2,0.2,NA
"Silene nocteolens",1,1,1,"Critically Endangered"
"Silene orphanidis",1,1,1,"Endangered"
"Silene parnassica",4,1,0.25,NA
"Silene peloritana",1,1,1,NA
"Silene petrarchae",1,1,1,NA
"Silene portensis",4,1,0.25,NA
"Silene sabinosae",1,1,1,NA
"Silene schwarzenbergeri",3,1,0.333333333333333,NA
"Silene sennenii",1,1,1,"Endangered"
"Silene stockenii",1,1,1,NA
"Silene sytnikii",1,1,1,NA
"Silene tamaranae",1,1,1,NA
"Silene vallesia",4,2,0.5,NA
"Silene valsecchiae",1,1,1,NA
"Silene velcevii",1,1,1,NA
"Silene velutina",2,1,0.5,"Near Threatened"
"Siler montanum",9,1,0.111111111111111,NA
"Sisymbrella dentata",1,1,1,"Endangered"
"Sisymbrium cavanillesianum",1,1,1,"Vulnerable"
"Solanum lidii",1,1,1,"Critically Endangered"
"Solanum nava",1,1,1,NA
"Soldanella calabrella",1,1,1,NA
"Soldanella montana",9,1,0.111111111111111,NA
"Soldanella pindicola",4,2,0.5,NA
"Soldanella pseudomontana",3,1,0.333333333333333,NA
"Soldanella villosa",2,1,0.5,"Vulnerable"
"Solenopsis antiphonitis",1,1,1,NA
"Solenopsis minima",1,1,1,NA
"Solidago litoralis",1,1,1,NA
"Sonchus arboreus",1,1,1,NA
"Sonchus bornmuelleri",1,1,1,NA
"Sonchus brachylobus",1,1,1,NA
"Sonchus bupleuroides",1,1,1,NA
"Sonchus gandogeri",1,1,1,"Critically Endangered"
"Sonchus lidii",1,1,1,NA
"Sonchus pitardii",1,1,1,NA
"Sonchus tectifolius",1,1,1,NA
"Sonchus tuberifer",1,1,1,NA
"Sonchus webbii",1,1,1,NA
"Sonchus wildpretii",1,1,1,NA
"Sorbus atrata",1,1,1,NA
"Sorbus degenii",1,1,1,"Vulnerable"
"Sorbus faohraei",1,1,1,NA
"Sorbus pannonica",1,1,1,"Vulnerable"
"Sorbus sudetica",2,1,0.5,"Endangered"
"Spergula madoniaca",1,1,1,NA
"Spergularia kurkae",3,1,0.333333333333333,NA
"Spergularia macrorrhiza",2,1,0.5,NA
"Spergularia melanocaulos",2,1,0.5,NA
"Spergula viscosa",1,1,1,NA
"Sporobolus hadjikyriakou",1,1,1,NA
"Stachys albanica",1,1,1,NA
"Stachys beckeana",2,1,0.5,NA
"Stachys leucoglossa",3,1,0.333333333333333,NA
"Stachys milanii",2,1,0.5,NA
"Stachys plumosa",3,1,0.333333333333333,NA
"Stachys salisii",2,1,0.5,NA
"Stachys serbica",4,2,0.5,NA
"Staphisagria picta",3,1,0.333333333333333,NA
"Stipa mayeri",2,1,0.5,NA
"Stipa sicula",1,1,1,NA
"Stipa transcarpatica",1,1,1,NA
"Suaeda kocheri",1,1,1,NA
"Succisa pinnatifida",2,2,1,NA
"Succisella andreae-molinae",1,1,1,"Endangered"
"Succisella carvalhoana",2,2,1,NA
"Succisella microcephala",1,1,1,NA
"Symphytum davisii",1,1,1,NA
"Taeniopetalum arenarium",7,3,0.428571428571429,NA
"Tanacetum audibertii",2,1,0.5,NA
"Tanacetum vahlii",1,1,1,NA
"Taraxacum abietifolium",1,1,1,NA
"Taraxacum aemulans",1,1,1,NA
"Taraxacum aleurodes",1,1,1,NA
"Taraxacum alpestre",2,1,0.5,NA
"Taraxacum ambrosium",1,1,1,NA
"Taraxacum ancistratum",3,1,0.333333333333333,NA
"Taraxacum ancoriferum",5,2,0.4,NA
"Taraxacum anglicum",5,1,0.2,NA
"Taraxacum aphrogenes",1,1,1,NA
"Taraxacum aquilonare",5,2,0.4,NA
"Taraxacum arachnoideum",4,1,0.25,NA
"Taraxacum arcuatum",1,1,1,NA
"Taraxacum argutum",3,1,0.333333333333333,NA
"Taraxacum atrolivaceum",1,1,1,NA
"Taraxacum austrinum",7,3,0.428571428571429,NA
"Taraxacum balticiforme",4,2,0.5,NA
"Taraxacum balticum",7,1,0.142857142857143,NA
"Taraxacum bavaricum",8,3,0.375,NA
"Taraxacum bohemicum",1,1,1,NA
"Taraxacum brandenburgicum",6,2,0.333333333333333,NA
"Taraxacum castaneum",1,1,1,NA
"Taraxacum cognatum",4,1,0.25,NA
"Taraxacum conspersum",4,1,0.25,NA
"Taraxacum crocodos",3,1,0.333333333333333,NA
"Taraxacum cucullatiforme",1,1,1,NA
"Taraxacum dahlii",2,1,0.5,NA
"Taraxacum delanghii",2,1,0.5,NA
"Taraxacum dentatum",4,2,0.5,NA
"Taraxacum discretum",8,1,0.125,NA
"Taraxacum dovrense",1,1,1,NA
"Taraxacum erythrocarpum",1,1,1,NA
"Taraxacum estrelense",1,1,1,NA
"Taraxacum euryphyllum",9,2,0.222222222222222,NA
"Taraxacum excellens",7,2,0.285714285714286,NA
"Taraxacum eximium",3,1,0.333333333333333,NA
"Taraxacum fartoris",1,1,1,NA
"Taraxacum ferale",1,1,1,NA
"Taraxacum fontanum",9,1,0.111111111111111,NA
"Taraxacum frisicum",2,1,0.5,NA
"Taraxacum gelertii",12,2,0.166666666666667,NA
"Taraxacum gelricum",3,1,0.333333333333333,NA
"Taraxacum geminidentatum",1,1,1,NA
"Taraxacum germanicum",1,1,1,NA
"Taraxacum gibberum",6,1,0.166666666666667,NA
"Taraxacum handelii",2,1,0.5,NA
"Taraxacum heleocharis",1,1,1,NA
"Taraxacum holmboei",1,1,1,NA
"Taraxacum huterianum",3,1,0.333333333333333,NA
"Taraxacum hygrophilum",4,2,0.5,NA
"Taraxacum iberanthum",1,1,1,NA
"Taraxacum indigenum",1,1,1,NA
"Taraxacum intermedium",7,1,0.142857142857143,NA
"Taraxacum inundatum",1,1,1,NA
"Taraxacum irrigatum",4,3,0.75,NA
"Taraxacum kraettlii",3,1,0.333333333333333,NA
"Taraxacum laetum",8,1,0.125,NA
"Taraxacum lamprophyllum",9,1,0.111111111111111,NA
"Taraxacum lentiginosum",4,1,0.25,NA
"Taraxacum lepidum",6,1,0.166666666666667,NA
"Taraxacum limosum",3,1,0.333333333333333,NA
